name,lat,lon,type,opening_hours
A R Electric and Hardware Store,23.84366,90.387341,shop_hardware,
A R Khan Plastic & Cookeries Store,23.860773,90.003742,shop_yes,Sa-Th 09:30-20:00
A R Telecom,23.758274,90.414082,shop_mobile_phone,
"A RAHAMAN GENERAL STOR, Grocery store",24.14167,89.90079,shop_yes,
A S Telecom,23.783044,90.409504,shop_electrical,
A Salam Complex এ সালাম কমপ্লেক্স,24.052011,90.233609,marketplace,
A U N mohila kamil madrasha,23.757548,90.409882,school,
A and A car centre,23.785816,90.400872,building_commercial,24/7
A to Z,23.621917,90.497863,shop_convenience,
A to Z Accessories এ টু জেড এক্সেসরিজ,23.821246,90.259847,shop_variety_store,
A to Z Medicine Corner,23.767571,90.357152,pharmacy,
A to Z books and Gift Corner,23.79979,90.363448,shop_gift,
A&W Restaurants,23.782013,90.416054,fast_food,
"A,Ali Pharmacy",23.708502,90.416213,pharmacy,
A-show Kichu Khie Tea Stall,23.89564,90.409075,cafe,
A. G. Church School,23.748554,90.401596,school,
A. K. Medical Hall,23.700879,90.428218,pharmacy,
A. K. Traders,23.708858,90.420984,shop_hardware,
A. Matin Bedding,23.709493,90.417447,shop_bed,Mo-Su 09:00-22:00
A. Rahim lethere shope,23.751709,90.403419,shop_lethere,
A.B.R Printing & Packaging,23.687423,90.481168,shop_yes,
A.Dry Cleaning,23.751849,90.407963,shop_dry_cleaning,
A.E.R.E School Building,23.962303,90.283094,college,
"A.K Memorial Hospital, Hospital,",24.218298,90.413168,hospital,
A.K. School And College (Main Campus),23.701902,90.443125,college,
A.L.I COMPLEX,23.849139,90.256792,shop_yes,
A.M Furniture,23.809517,90.363673,shop_furniture,
A.M Plaza,23.746201,90.412739,shop_supermarket,
A.M.C Govt private School,23.719014,90.382542,school,
A.N Bangladesh Sales And Servicing Center,23.943087,90.272303,shop_electronics,
"A.P PHARMACY, Pharmacy",23.967428,89.828318,pharmacy,
A.R Pharma,23.766668,90.417653,pharmacy,
A.R.B Furniture,23.809459,90.363588,shop_furniture,
A.S KHAN SUPER MARKET,23.933478,90.26708,marketplace,
A1 Graphics,23.734405,90.38803,shop_yes,
A1 Studio,23.721451,90.422241,shop_photo_studio,
AALOK HEALTHCARE,23.809046,90.367457,hospital,
AB Auto Traders,23.791339,90.365912,shop_motorcycle_repair,
AB Bank,23.76241,90.388944,atm,Mo-Su 00:00-12:00
AB Bank,23.618719,90.118361,bank,
